id;marca;modelo;color;numero_serie;precio;exposicion
1;Morado;indexing Montserrat Raton;Rojo;configurable withdrawal;29940;true
2;programming;Account artificial Compartible;Verde;optical optimizada;78742;true
3;de visionary;Senior;Amarillo;Teclado Opcional viral;36027;false
4;Avon deliver;connecting;Violeta;Relacciones;82364;true
5;Negro Aldea IB;granular definición optical;Violeta;input Checking Granito;7354;true
6;Suecia transmit Interno;Personal Distrito;Violeta;Administrador middleware Inversor;56732;true
7;quantify Jefe;Identidad;Amarillo;eyeballs Caimán Ordenador;91596;false
8;red Camiseta País;fritas bus microchip;Negro;Fantástico;20521;true
9;Respuesta Paseo Moda;Operaciones Coche;Amarillo;TCP Acero Dram;65384;true
10;programming Auto efficient;Increible;Blanco;Guapa Distrito;24670;false
